2016-12-09T13:56:04,746 [main] INFO  - .....HibernateDAO --- => save this identity : Identity [displayName=Thomas0.7801296055497359, email=null, uid=null]
2016-12-09T13:56:04,755 [main] INFO  - .....HibernateDAO --- => save this identity : Identity [displayName=Clement, email=clement@epita.fr, uid=123]
2016-12-09T13:56:04,768 [main] INFO  - ....TestIAMLogger --- test
2016-12-09T13:56:04,772 [main] INFO  - fr....TestLog4J2Configuration --- globalSetup
2016-12-09T13:56:04,773 [main] INFO  - fr....TestLog4J2Configuration --- setup
2016-12-09T13:56:04,773 [main] INFO  - fr....TestLog4J2Configuration --- init2
2016-12-09T13:56:04,773 [main] INFO  - fr....TestLog4J2Configuration --- tearDown
2016-12-09T13:56:04,774 [main] INFO  - fr....TestLog4J2Configuration --- setup
2016-12-09T13:56:04,774 [main] INFO  - fr....TestLog4J2Configuration --- init3
2016-12-09T13:56:04,774 [main] INFO  - fr....TestLog4J2Configuration --- tearDown
2016-12-09T13:56:04,774 [main] INFO  - fr....TestLog4J2Configuration --- setup
2016-12-09T13:56:04,774 [main] INFO  - fr....TestLog4J2Configuration --- init1
2016-12-09T13:56:04,774 [main] INFO  - fr....TestLog4J2Configuration --- tearDown
2016-12-09T13:56:04,775 [main] INFO  - fr....TestLog4J2Configuration --- globalTearDown
2016-12-09T13:59:18,675 [main] INFO  - .....HibernateDAO --- => save this identity : Identity [displayName=Thomas0.0987701078276424, email=null, uid=null]
2016-12-09T13:59:18,686 [main] INFO  - .....HibernateDAO --- => save this identity : Identity [displayName=Clement, email=clement@epita.fr, uid=123]
2016-12-09T13:59:18,699 [main] INFO  - ....TestIAMLogger --- test
2016-12-09T13:59:18,704 [main] INFO  - fr....TestLog4J2Configuration --- globalSetup
2016-12-09T13:59:18,705 [main] INFO  - fr....TestLog4J2Configuration --- setup
2016-12-09T13:59:18,705 [main] INFO  - fr....TestLog4J2Configuration --- init2
2016-12-09T13:59:18,705 [main] INFO  - fr....TestLog4J2Configuration --- tearDown
2016-12-09T13:59:18,706 [main] INFO  - fr....TestLog4J2Configuration --- setup
2016-12-09T13:59:18,706 [main] INFO  - fr....TestLog4J2Configuration --- init3
2016-12-09T13:59:18,706 [main] INFO  - fr....TestLog4J2Configuration --- tearDown
2016-12-09T13:59:18,706 [main] INFO  - fr....TestLog4J2Configuration --- setup
2016-12-09T13:59:18,707 [main] INFO  - fr....TestLog4J2Configuration --- init1
2016-12-09T13:59:18,707 [main] INFO  - fr....TestLog4J2Configuration --- tearDown
2016-12-09T13:59:18,707 [main] INFO  - fr....TestLog4J2Configuration --- globalTearDown
2016-12-09T14:04:30,516 [main] INFO  - .....HibernateDAO --- => save this identity : Identity [displayName=Thomas0.035427788423571416, email=null, uid=null]
2016-12-09T14:04:30,532 [main] INFO  - .....HibernateDAO --- <= save ok
2016-12-09T14:04:30,533 [main] INFO  - .....HibernateDAO --- => update this identity : Identity [displayName=Thomas0.035427788423571416, email=cserr@tbr.com, uid=null]
